;CAT;DESCRICAO
0;A00;Cólera
1;A01;Febres tifóide e paratifóide
2;A02;Outras infecções por Salmonella
3;A03;Shiguelose
4;A04;Outras infecções intestinais bacterianas
5;A05;Outras intoxicações alimentares bacterianas, não classificadas em outra parte
6;A06;Amebíase
7;A07;Outras doenças intestinais por protozoários
8;A08;Infecções intestinais virais, outras e as não especificadas
9;A09;Diarréia e gastroenterite de origem infecciosa presumível
10;A15;Tuberculose respiratória, com confirmação bacteriológica e histológica
11;A16;Tuberculose das vias respiratórias, sem confirmação bacteriológica ou histológica
12;A17;Tuberculose do sistema nervoso
13;A18;Tuberculose de outros órgãos
14;A19;Tuberculose miliar
15;A20;Peste
16;A21;Tularemia
17;A22;Carbúnculo
18;A23;Brucelose
19;A24;Mormo e melioidose
20;A25;Febres transmitidas por mordedura de rato
21;A26;Erisipelóide
22;A27;Leptospirose
23;A28;Outras doenças bacterianas zoonóticas não classificadas em outra parte
24;A30;Hanseníase [doença de Hansen] [lepra]
25;A31;Infecções devidas a outras micobactérias
26;A32;Listeriose [listeríase]
27;A33;Tétano do recém-nascido [neonatal]
28;A34;Tétano obstétrico
29;A35;Outros tipos de tétano
30;A36;Difteria
31;A37;Coqueluche
32;A38;Escarlatina
33;A39;Infecção meningogócica
34;A40;Septicemia estreptocócica
35;A41;Outras septicemias
36;A42;Actinomicose
37;A43;Nocardiose
38;A44;Bartonelose
39;A46;Erisipela
40;A48;Outras doenças bacterianas não classificadas em outra parte
41;A49;Infecção bacteriana de localização não especificada
42;A50;Sífilis congênita
43;A51;Sífilis precoce
44;A52;Sífilis tardia
45;A53;Outras formas e as não especificadas da sífilis
46;A54;Infecção gonocócica
47;A55;Linfogranuloma (venéreo) por clamídia
48;A56;Outras infecções causadas por clamídias transmitidas por via sexual
49;A57;Cancro mole
50;A58;Granuloma inguinal
51;A59;Tricomoníase
52;A60;Infecções anogenitais pelo vírus do herpes [herpes simples]
53;A63;Outras doenças de transmissão predominantemente sexual, não classificadas em outra parte
54;A64;Doenças sexualmente transmitidas, não especificadas
55;A65;Sífilis não-venérea
56;A66;Bouba
57;A67;Pinta [carate]
58;A68;Febres recorrentes [Borrelioses]
59;A69;Outras infecções por espiroquetas
60;A70;Infecções causadas por Clamídia psittaci
61;A71;Tracoma
62;A74;Outras doenças causadas por Clamídias
63;A75;Tifo exantemático
64;A77;Febre maculosa [rickettsioses transmitidas por carrapatos]
65;A78;Febre Q
66;A79;Outras rickettsioses
67;A80;Poliomielite aguda
68;A81;Infecções por vírus atípicos do sistema nervoso central
69;A82;Raiva
70;A83;Encefalite por vírus transmitidos por mosquitos
71;A84;Encefalite por vírus transmitido por carrapatos
72;A85;Outras encefalites virais, não classificadas em outra parte
73;A86;Encefalite viral, não especificada
74;A87;Meningite viral
75;A88;Outras infecções virais do sistema nervoso central não classificadas em outra parte
76;A89;Infecções virais não especificadas do sistema nervoso central
77;A90;Dengue [dengue clássico]
78;A91;Febre hemorrágica devida ao vírus do dengue
79;A92;Outras febres virais transmitidas por mosquitos
80;A93;Outras febres por vírus transmitidas por artrópodes não classificadas em outra parte
81;A94;Febre viral transmitida por artrópodes, não especificada
82;A95;Febre amarela
83;A96;Febre hemorrágica por arenavírus
84;A98;Outras febres hemorrágicas por vírus, não classificadas em outra parte
85;A99;Febres hemorrágicas virais não especificadas
86;B00;Infecções pelo vírus do herpes [herpes simples]
87;B01;Varicela [Catapora]
88;B02;Herpes zoster [Zona]
89;B03;Varíola
90;B04;Varíola dos macacos [Monkeypox]
91;B05;Sarampo
92;B06;Rubéola
93;B07;Verrugas de origem viral
94;B08;Outras infecções virais caracterizadas por lesões da pele e das membranas mucosas, não classificadas em outra parte
95;B09;Infecção viral não especificada caracterizada por lesões da pele e membranas mucosas
96;B15;Hepatite aguda A
97;B16;Hepatite aguda B
98;B17;Outras hepatites virais agudas
99;B18;Hepatite viral crônica
100;B19;Hepatite viral não especificada
101;B20;Doença pelo vírus da imunodeficiência humana [HIV], resultando em doenças infecciosas e parasitárias
102;B21;Doença pelo vírus da imunodeficiência humana [HIV], resultando em neoplasias malignas
103;B22;Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças especificadas
104;B23;Doença pelo vírus da imunodeficiência humana [HIV] resultando em outras doenças
105;B24;Doença pelo vírus da imunodeficiência humana [HIV] não especificada
106;B25;Doença por citomegalovírus
107;B26;Caxumba [Parotidite epidêmica]
108;B27;Mononucleose infecciosa
109;B30;Conjuntivite viral
110;B33;Outras doenças por vírus não classificada em outra parte
111;B34;Doenças por vírus, de localização não especificada
112;B35;Dermatofitose
113;B36;Outras micoses superficiais
114;B37;Candidíase
115;B38;Coccidioidomicose
116;B39;Histoplasmose
117;B40;Blastomicose
118;B41;Paracoccidioidomicose
119;B42;Esporotricose
120;B43;Cromomicose e abscesso feomicótico
121;B44;Aspergilose
122;B45;Criptococose
